I	1
II	2
III	3
IV	4
V	5
VI	6
VII	7
VIII	8
IX	9
X	10
XI	11
XII	12
XIII	13
XIV	14
XV	15
XVI	16
XVII	17
XVIII	18
XIX	19
XX	20
XXI	21
XXII	22
XXIII	23
XXIV	24
XXV	25
XXVI	26
XXVII	27
XXVIII	28
XXIX	29
XXX	30
XXXI	31
XXXII	32
XXXIII	33
XXXIV	34
XXXV	35
XXXVI	36
XXXVII	37
XXXVIII	38
XXXIX	39
XL	40
XLI	41
XLII	42
XLIII	43
XLIV	44
XLV	45
XLVI	46
XLVII	47
XLVIII	48
XLIX	49
MCMXCIV	1994
MCMXCV	1995
MCMXCVI	1996
MCMXCVII	1997
MCMXCVIII	1998
MCMXCIX	1999
MM	2000
MMI	2001
MMII	2002
MMIII	2003
MMIV	2004
MMV	2005
MMVI	2006
MMVII	2007
MMVIII	2008
MMIX	2009
MMX	2010
MMXI	2011
MMXII	2012
MMXIII	2013
MMXIV	2014
MMXV	2015
MMXVI	2016
MMXVII	2017
MMXVIII	2018
MMXIX	2019
MMXX	2020
MMXXI	2021
MMXXII	2022
MMXXIII	2023
MMXXIV	2024
MMXXV	2025
MMXXVI	2026
MMXXVII	2027
MMXXVIII	2028
MMXXIX	2029
MMXXX	2030
MMXXXI	2031
MMXXXII	2032
MMXXXIII	2033
MMXXXIV	2034
MMXXXV	2035
